rule_key,domain,severity,status,device_id,zone_id,hall_id,event_timestamp,detected_at,trigger_value,threshold_value,message,escalation_level,metadata,recommended_action,action_status,auto_response_executed,acknowledged_by,acknowledged_at,resolved_at,response_type,response_action
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZB45,zoneB,HZB08,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,331620.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=331620.0 > 60.,0,"{""readingId"": ""42bd9a47-57ea-46f6-a14a-8d980d19d2fa"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-27 06:04:00+00:00,2026-01-28 08:22:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,MEDIUM,NEW,EMETERZB01,zoneB,,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,157.32,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=157.32 > 50.,0,"{""readingId"": ""a96a4e15-23e0-4888-9862-6bfae0a7de07"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,COMPLETED,True,102,2026-01-26 15:31:00+00:00,2026-01-27 13:29:00+00:00,AUTOMATED,Optimize HVAC power distribution
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZD10,zoneD,HZD02,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,799320.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=799320.0 > 60.,0,"{""readingId"": ""e7f9e10d-839d-440d-9187-e264d674d100"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,104,2026-01-26 17:13:00+00:00,2026-01-27 19:08:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,CAMZB13,zoneB,HZB03,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,471120.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=471120.0 > 60.,0,"{""readingId"": ""23371db4-06f7-4256-bf04-998826f36e49"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,104,2026-01-26 23:36:00+00:00,2026-01-28 16:01:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,THSZB05,zoneB,HZB01,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,748860.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=748860.0 > 60.,0,"{""readingId"": ""e9e256c0-9241-4575-8bdf-2e78aa5b29d8"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,101,2026-01-27 01:58:00+00:00,2026-01-28 21:53:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,ENVZA07,zoneA,HZA01,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,271740.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=271740.0 > 60.,0,"{""readingId"": ""7a4141a8-32be-46c9-a617-509c72c81cc1"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,101,2026-01-27 01:02:00+00:00,2026-01-28 11:04:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,MEDIUM,NEW,EMETERZA01,zoneA,,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,118.7,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=118.7 > 50.,0,"{""readingId"": ""4f372da2-f4a1-4fdc-9c9d-217baa3a62dc"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,COMPLETED,True,103,2026-01-27 11:27:00+00:00,2026-01-29 02:51:00+00:00,AUTOMATED,Optimize HVAC power distribution
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZA34,zoneA,HZA06,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,788220.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=788220.0 > 60.,0,"{""readingId"": ""c7f3833d-7d0c-44b3-b8d5-4481cef43384"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-26 22:31:00+00:00,2026-01-28 02:54:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,MEDIUM,NEW,EMETERZC01,zoneC,,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,111.26,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=111.26 > 50.,0,"{""readingId"": ""074fea3e-77b6-4b11-be59-18c279c2aaf8"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,COMPLETED,True,101,2026-01-26 18:43:00+00:00,2026-01-28 16:34:00+00:00,AUTOMATED,Optimize HVAC power distribution
SUS_POWER_SPIKE_001,SUSTAINABILITY,MEDIUM,NEW,EMETERZD01,zoneD,,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,118.89,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=118.89 > 50.,0,"{""readingId"": ""d91f26f9-87d7-4fcc-b258-78e32d6b5255"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,COMPLETED,True,101,2026-01-27 00:28:00+00:00,2026-01-27 14:59:00+00:00,AUTOMATED,Optimize HVAC power distribution
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,CAMZB44,zoneB,HZB08,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,403620.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=403620.0 > 60.,0,"{""readingId"": ""b82504a8-a60e-42c3-8dc9-5377d7534bfd"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,101,2026-01-26 16:56:00+00:00,2026-01-28 01:52:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZB45,zoneB,HZB08,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,686820.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=686820.0 > 60.,0,"{""readingId"": ""87e13ca3-1b7a-4833-afd6-bb48ae115208"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,104,2026-01-27 12:23:00+00:00,2026-01-28 14:44:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,THSZB47,zoneB,HZB08,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,210780.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=210780.0 > 60.,0,"{""readingId"": ""dc1cbb70-12e0-458d-b66f-1a4fc547ca0c"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,104,2026-01-26 15:21:00+00:00,2026-01-28 09:43:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,MEDIUM,NEW,EMETERZB01,zoneB,,2026-01-26T15:08:00+00:00,2026-01-26 15:08:00+00:00,147.25,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=147.25 > 50.,0,"{""readingId"": ""8818a4df-ecdb-4db9-bf04-827c4c04771c"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,COMPLETED,True,104,2026-01-27 12:30:00+00:00,2026-01-29 03:40:00+00:00,AUTOMATED,Optimize HVAC power distribution
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,CAMZB13,zoneB,HZB03,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,822420.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=822420.0 > 60.,0,"{""readingId"": ""5d347b8a-48e2-42db-b4d8-59fb2231d6f0"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-26 19:48:00+00:00,2026-01-28 16:48:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,THSZB05,zoneB,HZB01,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,510600.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=510600.0 > 60.,0,"{""readingId"": ""dcf6987d-cdc4-4755-8b70-75a97200552c"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,101,2026-01-26 17:12:00+00:00,2026-01-26 21:34:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZA34,zoneA,HZA06,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,161100.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=161100.0 > 60.,0,"{""readingId"": ""c0e27dd8-a3dd-4a33-b5f8-b0fe98d39727"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,101,2026-01-27 13:33:00+00:00,2026-01-29 10:24:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,ENVZA07,zoneA,HZA01,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,223560.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=223560.0 > 60.,0,"{""readingId"": ""71b34a35-74d9-4647-8687-082d22da8f4f"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-27 10:42:00+00:00,2026-01-29 09:45:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZD10,zoneD,HZD02,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,731820.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=731820.0 > 60.,0,"{""readingId"": ""0d24970b-2393-413b-809b-b468fa0a3dfb"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,104,2026-01-27 01:48:00+00:00,2026-01-27 14:16:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,HIGH,NEW,EMETERZA01,zoneA,,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,122.16,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=122.16 > 50.,1,"{""readingId"": ""a570f6c5-44d4-4293-87bf-befd0276ddb6"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,PENDING,False,102,2026-01-26 17:40:00+00:00,2026-01-26 23:37:00+00:00,MANUAL,Review HVAC efficiency and load
SUS_POWER_SPIKE_001,SUSTAINABILITY,HIGH,NEW,EMETERZB01,zoneB,,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,156.62,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=156.62 > 50.,1,"{""readingId"": ""8f2b3fc2-94cf-46ac-8ab6-8072f4a815ef"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,PENDING,False,102,2026-01-27 06:03:00+00:00,2026-01-29 04:53:00+00:00,MANUAL,Review HVAC efficiency and load
SUS_POWER_SPIKE_001,SUSTAINABILITY,HIGH,NEW,EMETERZD01,zoneD,,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,109.13,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=109.13 > 50.,1,"{""readingId"": ""a81b7ab0-7bb0-4c59-904a-c11090a2129b"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,PENDING,False,102,2026-01-26 22:49:00+00:00,2026-01-27 11:12:00+00:00,MANUAL,Review HVAC efficiency and load
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,CAMZB44,zoneB,HZB08,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,421920.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=421920.0 > 60.,0,"{""readingId"": ""49ed383b-13cf-420f-8ab5-f0768a9df61a"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,101,2026-01-27 05:01:00+00:00,2026-01-28 06:47:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZB45,zoneB,HZB08,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,381120.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=381120.0 > 60.,0,"{""readingId"": ""7e453fb4-0641-4d67-a9f7-5ab2fa85314f"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,104,2026-01-27 11:42:00+00:00,2026-01-28 22:22:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,THSZB47,zoneB,HZB08,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,654420.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=654420.0 > 60.,0,"{""readingId"": ""4da59e2a-806d-496f-a88c-2dabe338ad6a"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-26 17:43:00+00:00,2026-01-27 05:36:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,HIGH,NEW,EMETERZC01,zoneC,,2026-01-26T15:23:00+00:00,2026-01-26 15:23:00+00:00,110.58,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=110.58 > 50.,1,"{""readingId"": ""7b3c1d3b-677e-4506-9fc0-5bf43637ecbb"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,PENDING,False,103,2026-01-26 18:35:00+00:00,2026-01-28 06:57:00+00:00,MANUAL,Review HVAC efficiency and load
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZD10,zoneD,HZD02,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,585240.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=585240.0 > 60.,0,"{""readingId"": ""13aef778-4d49-453b-ac01-07fa30568f73"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-26 15:48:00+00:00,2026-01-28 08:28:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,CAMZB13,zoneB,HZB03,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,190800.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=190800.0 > 60.,0,"{""readingId"": ""a6161f59-60af-4c2a-acfd-70a0bb8769f3"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,101,2026-01-27 15:10:00+00:00,2026-01-27 20:05:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,THSZB05,zoneB,HZB01,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,523140.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=523140.0 > 60.,0,"{""readingId"": ""e82f65cf-5713-4035-a68c-85d81fd7c57a"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-26 21:35:00+00:00,2026-01-28 19:08:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZA34,zoneA,HZA06,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,316800.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=316800.0 > 60.,0,"{""readingId"": ""194ee7e1-ecb8-421d-8d77-af2f665b3380"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,103,2026-01-26 18:42:00+00:00,2026-01-27 07:01:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,ENVZA07,zoneA,HZA01,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,358260.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=358260.0 > 60.,0,"{""readingId"": ""76b0673c-2431-4f34-ab07-1fda0797d16f"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-26 23:38:00+00:00,2026-01-28 12:57:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,HIGH,NEW,EMETERZD01,zoneD,,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,133.97,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=133.97 > 50.,1,"{""readingId"": ""cb69b11e-f926-4275-a9e6-95dc851d9982"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,PENDING,False,103,2026-01-27 05:25:00+00:00,2026-01-28 23:17:00+00:00,MANUAL,Review HVAC efficiency and load
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZB45,zoneB,HZB08,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,440520.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=440520.0 > 60.,0,"{""readingId"": ""1154fab8-2827-4589-a6aa-93e0dd80b163"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-27 02:32:00+00:00,2026-01-29 00:19:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,HIGH,NEW,EMETERZB01,zoneB,,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,157.81,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=157.81 > 50.,1,"{""readingId"": ""ada4861b-8c49-4b5d-8f1d-7c7ee3795ac3"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,PENDING,False,104,2026-01-26 23:17:00+00:00,2026-01-28 00:16:00+00:00,MANUAL,Review HVAC efficiency and load
SUS_POWER_SPIKE_001,SUSTAINABILITY,HIGH,NEW,EMETERZC01,zoneC,,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,110.02,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=110.02 > 50.,1,"{""readingId"": ""bf2bdb6e-728e-4cfa-928b-31013062e422"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,PENDING,False,101,2026-01-27 01:11:00+00:00,2026-01-27 16:35:00+00:00,MANUAL,Review HVAC efficiency and load
OPS_TEMP_LOW_001,OPERATIONS,MEDIUM,NEW,THSZC04,zoneC,HZC01,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,19.98,20.0,OPS_TEMP_LOW_001 triggered: temperatureC=19.98 < 20.,0,"{""readingId"": ""9c6ad210-f8af-4702-b430-1780782e303c"", ""readingType"": ""temp_humidity""}",Adjust HVAC settings,COMPLETED,True,101,2026-01-27 11:28:00+00:00,2026-01-27 18:04:00+00:00,AUTOMATED,Automatically adjust HVAC settings
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,CAMZB44,zoneB,HZB08,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,731460.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=731460.0 > 60.,0,"{""readingId"": ""11a3e6f2-c3fa-47d7-90bc-816224caf76e"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,104,2026-01-27 01:10:00+00:00,2026-01-28 11:14:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,THSZB47,zoneB,HZB08,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,335400.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=335400.0 > 60.,0,"{""readingId"": ""ecc2fd96-6f1f-4e3a-b4d2-1961ab491f32"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-27 15:04:00+00:00,2026-01-28 02:46:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,HIGH,NEW,EMETERZA01,zoneA,,2026-01-26T15:38:00+00:00,2026-01-26 15:38:00+00:00,116.87,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=116.87 > 50.,1,"{""readingId"": ""48058255-fb29-44d9-b334-f54df5fc0284"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,PENDING,False,104,2026-01-26 18:43:00+00:00,2026-01-27 03:04:00+00:00,MANUAL,Review HVAC efficiency and load
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,CAMZB13,zoneB,HZB03,2026-01-26T15:53:00+00:00,2026-01-26 15:53:00+00:00,213360.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=213360.0 > 60.,0,"{""readingId"": ""6e4077b7-03ce-42bb-b515-e0b4c989418b"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,104,2026-01-27 07:38:00+00:00,2026-01-28 00:54:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,THSZB05,zoneB,HZB01,2026-01-26T15:53:00+00:00,2026-01-26 15:53:00+00:00,850860.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=850860.0 > 60.,0,"{""readingId"": ""afc25d48-f591-451a-a0d3-56daaec85151"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,103,2026-01-26 22:12:00+00:00,2026-01-27 00:01:00+00:00,MANUAL,Check device connectivity
OPS_TEMP_LOW_001,OPERATIONS,MEDIUM,NEW,THSZB17,zoneB,HZB03,2026-01-26T15:53:00+00:00,2026-01-26 15:53:00+00:00,19.98,20.0,OPS_TEMP_LOW_001 triggered: temperatureC=19.98 < 20.,0,"{""readingId"": ""b6cc7d1d-5778-442b-9dd8-09eac2350014"", ""readingType"": ""temp_humidity""}",Adjust HVAC settings,COMPLETED,True,104,2026-01-27 10:57:00+00:00,2026-01-29 10:36:00+00:00,AUTOMATED,Automatically adjust HVAC settings
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZA34,zoneA,HZA06,2026-01-26T15:53:00+00:00,2026-01-26 15:53:00+00:00,392820.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=392820.0 > 60.,0,"{""readingId"": ""f20aa1f5-0f48-44fb-931b-845b03eb5e3e"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,101,2026-01-26 19:25:00+00:00,2026-01-27 18:36:00+00:00,MANUAL,Check device connectivity
